"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","Період","Значення cпостереження"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M11","49.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M12","50.54"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M01","48.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M02","48.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M03","49.4"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M04","50.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M05","51.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M06","51.46"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M07","51.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M08","52.28"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M09","52.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2025-M10","56.92"
